id,requirement,verificationStage,evidence,remainingForRealSystem,hardwareVerified
COL-01,RockstarOSを現地の設備・仕事・資源・通信の運用核にする,DESIGN_ONLY,,既存OSへの登録・Adapter・実設備データの統合,False
COL-02,Coreのプロセス停止後も局所制御を進める,SIM_TESTED,test_process.ProcessSeparationTests.test_local_ticks_continue_after_supervisor_killed,同一host上の模型のみ。独立電源・OS・設備保護を実証,False
COL-03,AIの提案と操作者の承認を分ける,SIM_TESTED,test_core.ColonyContractTests.test_planner_proposal_cannot_approve_or_dispatch,fixture actor検査のみ。本人確認・AI/署名鍵/Controllerの実隔離,False
COL-04,承認を命令内容全体に結び付ける,SIM_TESTED,test_core.ColonyContractTests.test_approval_requires_exact_full_command_digest; test_core.ColonyContractTests.test_changed_stored_body_is_not_approved_for_dispatch,実OSの権限・署名サービスと接続,False
COL-05,期限切れの新規要求を適用しない,SIM_TESTED,test_core.ColonyContractTests.test_controller_independently_rejects_expired_direct_command; test_core.ColonyContractTests.test_expired_queued_command_never_reaches_controller,時刻源・不確かさ・機器期限の検証,False
COL-06,同一ID同一内容の再到着で再作用しない,SIM_TESTED,test_core.ColonyContractTests.test_exact_replay_survives_controller_reboot_without_reapplying; test_core.ColonyContractTests.test_same_id_changed_payload_conflicts_after_reboot,物理作用の照合、長期receipt保持と履歴破損の扱い,False
COL-07,設備再起動後に旧世代の新規要求を拒否,SIM_TESTED,test_core.ColonyContractTests.test_reboot_fences_old_unapplied_generation,実装機で起動・停電・復元を確認,False
COL-08,単一の監督制御権とepochを設備で判定,SIM_TESTED,test_core.ColonyContractTests.test_exclusive_authority_cas_and_epoch_fence,認証されたlease発行、分断・自動切替・複数実機試験,False
COL-09,期待する設備状態の版を受信時に照合,SIM_TESTED,test_core.ColonyContractTests.test_state_revision_change_rejects_old_command,実設備Adapterの状態版と原子的判定,False
COL-10,供給変動を局所で再評価し不足を明示,SIM_TESTED,test_core.ColonyContractTests.test_local_resource_budget_is_checked_even_for_signed_fixture; test_core.ColonyContractTests.test_supply_drop_curtails_then_reports_critical_deficit,実電気・蓄電・起動過渡・損失・故障試験,False
COL-11,監督権失効時も重要負荷を優先,SIM_TESTED,test_core.ColonyContractTests.test_lease_expiry_curtails_local_flexible_load_without_broker,設備ごとの許可プロファイルと継続可能時間,False
COL-12,古い観測を現在の正常値として使わない,SIM_TESTED,test_core.ColonyContractTests.test_stale_telemetry_blocks_refresh_and_prepare,全センサーの時刻・品質・校正・欠測検査,False
