ID,分野,項目,状態,必要成果物,現状,不足情報,検証方法,依存ID,製造承認
RDR-001,system,両段回収・同一機番の再飛行要求,要求固定,"システム要求仕様書
両段再使用の成功判定定義",ロケットの両段を帰還させ、同一機番の両段を再飛行・再回収する要求を固定する。要求固定は達成済みの意味ではない。,各飛行の機番、許容構成変更、成功判定の観測量,"要求レビューと構成監査
機番付き飛行・回収・再飛行記録照合",,False
RDR-002,system,基準ミッション・軌道・運用範囲,解析仮定,"基準ミッション書
発射・回収場所と軌道の入力データセット",無人LEO輸送を検討範囲とするが、550km・53度・2機はユーザーが承認した性能ではない。,発射場、B1/S2回収場所、利用地域、衛星の投入要件、許容待機時間,"ミッション整合性レビュー
射場から投入軌道・帰還窓への到達解析",RDR-001,False
RDR-003,system,二段式・保持式扉・段間部の構成,方式選定,"製品構成図
分離・保持物一覧
通常飛行の投棄物台帳",二段式と機体保持式扉を採用方式として継承。個々の機構や取付強度は未決定。,分離境界、段間部の帰属、衛星側/上段側部品の境界,"構成監査
分離後の全物品追跡
機構統合試験","RDR-001,RDR-002",False
RDR-004,system,質量・重心・慣性・消耗品の統合予算,解析仮定,"部品別質量台帳
全状態の重心・慣性表
成長余裕/使用可能量/非使用残量台帳",618.6t・上段乾燥18t・帰還4tは旧比較点B0。C1の確定質量ではない。乾燥25%余裕の二重加算を禁じ、姿勢制御/冷却/再始動等を別計上する。上段乾燥18/20/22/24tと帰還4/4.9/6/8t等の感度を検討し、逆算による大型化値を採用仕様にしない。,実部品見積り、タンク/TPS/脚の積上げ、残液、姿勢制御剤、加圧ガス、ベント、冷却/再始動消費,"台帳合計と状態間の質量保存検査
実機重量・重心測定
上昇/帰還同時感度解析","RDR-002,RDR-003,RDR-007,RDR-014,RDR-018,RDR-024",False
RDR-005,system,上昇・軌道離脱・帰還の同時成立,未確定,"統合飛行解析報告
分散・誤差込み性能予算
飛行可能域と除外条件",B0の正の算術余裕を飛行成立とみなさない。仮要求10290m/sへの差は約34m/sで、質量/Ispの組合せ次第で消失する。乾燥成長を仮連動した上昇逆算は帰還量の再計算も必要で、C1で新しい質量/推進剤仕様は確定していない。,固定ミッション、質量状態、推力/Isp曲線、空力/熱モデル、誤差分布、帰還電力、気象,"校正済み軌道/6自由度解析
不確かさ込み投入・帰還条件の同時検証
飛行測定との照合","RDR-002,RDR-004,RDR-014,RDR-016,RDR-018,RDR-022,RDR-026,RDR-029",False
RDR-006,system,図面番号・リビジョン・設計構成管理,未確定,"図面/仕様書/解析モデルの総索引
変更管理台帳
設計・製造・実機構成の対応表",本台帳は成果物要求の一覧であり製造図面一式ではない。実在しない図面番号・承認者・承認版は付与しない。,図面命名規則、構成識別ルール、変更影響評価、設計責任/承認体制,"版・参照整合性監査
製造BOMと承認図面・実装版の対応照合","RDR-003,RDR-033,RDR-039",False
RDR-007,structures,機体外形・内部配置・製造図,未確定,"全体組立図/3D形状
断面配置図
部品製造図/公差/基準面/組立指示",径5〜6m/高さ55〜70mは従来の探索枠。舵面前後各2枚・脚4本は外観配置候補にとどめる。色/比率の外観統一は製造寸法の確定と区別する。,タンク有効容積、部品包絡、重心、熱防護厚、取付/点検空間、製造/輸送設備制約,"干渉/容積/アクセス確認
公差積上げと製造性審査
実物適合確認","RDR-003,RDR-004,RDR-009,RDR-014,RDR-018,RDR-032,RDR-033",False
RDR-008,structures,材料・許容値・腐食/環境適合,未確定,"材料選定表
許容応力/低温靱性/疲労/破壊特性データ
表面処理/防食/材料トレーサビリティ仕様",材種、熱処理、板厚、調達規格を類似機から推定して確定しない。,温度/応力/腐食環境、材料ロット特性、製造工程、採用規格の適用範囲,"材料試験と工程後試験
環境適合評価
証明書/ロット照合","RDR-002,RDR-010,RDR-018,RDR-031",False
RDR-009,structures,タンク・溶接・接合の詳細設計,未確定,"タンク製造図
接合/溶接工程仕様・工程認定記録
耐圧/漏洩/座屈/低温サイクル検証書",圧力、板厚、溶接条件を未解析の数値で埋めない。,材料許容値、容積/形状、流体系の圧力包絡、荷重、熱サイクル、検査到達性,"試験計画承認後の低温/圧力/漏洩/繰返し検証
接合試験片/非破壊検査
解析校正","RDR-007,RDR-008,RDR-010,RDR-015,RDR-035",False
RDR-010,structures,全飛行荷重・強度・座屈・振動,未確定,"荷重条件台帳
構造解析モデル/解析報告
終極/限界荷重と余裕一覧
静強度・モード・振動試験報告",安全係数をかけた机上値だけで製造/再使用許可を出さない。,全体形状、質量、推力/空力/加熱、取付境界、材料、寿命スペクトル,"結合荷重/有限要素解析
静強度/モード/振動試験で相関
故障と局所損傷の評価","RDR-004,RDR-005,RDR-007,RDR-008,RDR-018",False
RDR-011,structures,段分離・保持扉・ラッチ・機構,未確定,"分離/扉/ラッチ組立図とBOM
駆動・状態検知回路
干渉/衝撃/寿命/熱変形報告",段間分離と衛星放出後の確実な扉閉鎖を同じ構成で検証する。,荷重、熱変形、公差、衛星包絡、再接触余裕、駆動電力、検知方式,"代表質量/低温/変形条件での反復機構試験
分離/閉鎖/誤状態故障注入","RDR-003,RDR-007,RDR-010,RDR-024,RDR-032,RDR-033",False
RDR-012,structures,着陸脚・吸収部・接地安定性,未確定,"脚/取付部製造図
吸収特性/展開/ロック仕様
着陸荷重・転倒余裕報告",海上甲板動揺、重心/残液移動と脚性能を結合してから接地条件を固定する。,接地質量/重心、最悪速度/姿勢/地面/甲板条件、推力停止挙動、材料/寿命,"脚機能/落下/着陸荷重試験
転倒/滑り/固定機構の結合評価","RDR-004,RDR-008,RDR-010,RDR-022,RDR-029,RDR-031",False
RDR-013,propulsion,LOX/液体メタンの共通化方式,方式選定,"推進系方式選定書
機体/地上系の推進剤境界定義",共通推進剤を採用する。エンジンサイクルや燃焼条件・採用品の確定とは切り離す。,供給/調達条件、地上取扱い範囲、材料/シール適合条件,"方式比較とインターフェースレビュー
材料/流体系適合検証","RDR-001,RDR-003",False
RDR-014,propulsion,主推進・上段着陸推進の採用仕様,未確定,"エンジン要求・選定/調達仕様
組立図/BOM/機体取付接口
推力/Isp/絞り/再始動/寿命性能表と検証記録",上昇用エンジンをそのまま絞れば着陸できるとは扱わない。部品型番や製造条件を発明しない。,上昇/帰還推力包絡、最低安定推力、応答、待機/再始動条件、機体包絡、実証データ,"供給者データ審査
地上認定/受入燃焼と再始動試験
性能曲線を飛行解析へ反映","RDR-004,RDR-005,RDR-007,RDR-013,RDR-016,RDR-022",False
RDR-015,propulsion,配管・加圧・弁・ベント・計測,未確定,"流体系図/配管計装図
配管製造図/弁・継手BOM
圧力/温度/流量包絡
洗浄・漏洩・機能検査仕様",加圧ガス・消費量は質量台帳へ独立計上し、非使用残液から黙って流用しない。,エンジン入口要求、タンク圧力包絡、熱侵入、加圧源、ベント方向/荷重、部品適合,"流量/漏洩/圧力過渡試験
弁固着/センサー異常の故障注入
質量台帳照合","RDR-004,RDR-009,RDR-013,RDR-014,RDR-024",False
RDR-016,propulsion,再始動・残液・着陸用供給,未確定,"推進剤保持/供給方式選定
残液/スロッシング/沈降モデル
冷却・再始動・終末供給の結合検証",旧0.8t離脱/3.2t着陸は確定必要量ではない。4.9tも乾燥18tの特定仮条件だけの値。乾燥増加、姿勢遷移、蒸発/冷却/再着火消費を含む帰還必要量と液供給は未成立。,姿勢/加速度履歴、液量/温度/圧力、エンジン入口条件、蒸発/冷却消費、計測誤差,"低温供給/姿勢変化の代表試験
校正モデルとのHIL結合
最悪供給余裕の検証","RDR-004,RDR-005,RDR-009,RDR-014,RDR-015,RDR-022",False
RDR-017,thermal,上段再突入方式・熱防護ゾーン,方式選定,"再突入方式選定書
熱防護区域・機体面の機能図",風上面TPS・風下面収納扉の機能配置と高迎角降下を方式として選定。風下面にも局所加熱評価は必要。形状、材料、空力安定性、熱限界は未認定。,機体外形と質量変化、再突入回廊、姿勢包絡、扉/舵面境界,"空力/加熱方式比較
帰還成立解析との整合","RDR-002,RDR-003,RDR-005,RDR-007",False
